"","0","0.2","0.4","0.6","0.8","1","p"
"V1",0.0644823660173665,0.065317909974258,0.0648375505394416,0.0642359211132836,0.0638769718409862,0.0646028281285168,0
"V2",0.0512349021370832,0.0629071250842737,0.0748988573306658,0.0848767156549142,0.0942068198578839,0.104399297542634,0.05
"V3",0.0338757369578132,0.0599210175185547,0.0800857400144519,0.0973260030026604,0.112879400886555,0.128131490722826,0.1
"V4",0.0178416026149392,0.0548624049238398,0.0825063702295242,0.105574802731688,0.12620756784211,0.143506289860688,0.15
"V5",0.000731489597115915,0.0479598444150003,0.0831888978302975,0.110820356600281,0.135540268669231,0.157159101027317,0.2
"V6",-0.0168841406157231,0.0411449742629035,0.0816699480181143,0.114432127854408,0.141551458535059,0.167155867128893,0.25
"V7",-0.0366980213851321,0.0324512655712967,0.079032038205082,0.115481325173829,0.147335431741622,0.174211930870104,0.3
"V8",-0.0560039885040911,0.0229512388606693,0.0743660978715081,0.11555591046597,0.150048846719424,0.179704625165215,0.35
"V9",-0.0770979451214833,0.0118302418496083,0.0692071471864212,0.113608624382753,0.151094444936733,0.183876971092383,0.4
"V10",-0.0999309001547763,0.000271150525671825,0.0629322818190571,0.110206499299585,0.151233235154245,0.185887679360381,0.45
"V11",-0.124079713681163,-0.0131906299227328,0.0544537623718528,0.107050004001814,0.149383216317331,0.185885403735779,0.5
"V12",-0.150762234226739,-0.0280363671939932,0.0451945881275201,0.101306654402046,0.146311359580387,0.186091101396297,0.55
"V13",-0.179212683996878,-0.0446905991756542,0.0347425913383998,0.0936019963953579,0.142617681807629,0.183571228718358,0.6
"V14",-0.210835633903665,-0.0620627314193593,0.021885540845698,0.0843711150858149,0.135968081083293,0.179588540031901,0.65
"V15",-0.245979184980214,-0.0833353973940042,0.0074205250083705,0.0742877697607863,0.128733782233011,0.173964872734387,0.7
"V16",-0.284787875940288,-0.106498659002828,-0.00985908550799567,0.0619963156126463,0.118479388854973,0.16760538714391,0.75
"V17",-0.329551946200581,-0.133027577143179,-0.0290262209665537,0.0470429460237387,0.106561298684102,0.157280066411071,0.8
"V18",-0.384083818382973,-0.165095390695699,-0.0530987980436951,0.0273170684680281,0.0910606756890631,0.144143776463432,0.85
"V19",-0.450568780513506,-0.203977410077505,-0.0823425227582417,0.00343624864497445,0.0718402172185846,0.127401215376815,0.9
"V20",-0.540794911499461,-0.253812909914987,-0.120806595719936,-0.0275163612745235,0.0445220790405541,0.103818815453578,0.95
"V21",-0.693147180559947,-0.330052809704226,-0.179406102286614,-0.0777275012173732,0.000497667332546242,0.0641950223569403,1
