"","mxp","max","rate"
"0",0,0.0648938766826539,"100%"
"0.2",0,0.0649247648232585,"80%"
"0.4",0.15,0.0826546156044517,"60%"
"0.6",0.3,0.115309882261871,"40%"
"0.8",0.45,0.151730626430046,"20%"
"1",0.5,0.186257491371887,"0%"
