"","mxp","max","rate"
"0",0,0.0538984407698702,"100%"
"0.2",0.1,0.0606555919234201,"80%"
"0.4",0.2,0.0863458678623017,"60%"
"0.6",0.3,0.115950378365135,"40%"
"0.8",0.35,0.146918945355861,"20%"
"1",0.5,0.179262471042607,"0%"
